PhraseId	Phrase	Sentiment
156061	An intermittently pleasing but mostly routine effort .	2
156062	An intermittently pleasing but mostly routine effort	2
156063	An	2
156064	intermittently pleasing but mostly routine effort	2
156065	intermittently pleasing but mostly routine	2
156066	intermittently pleasing but	2
156067	intermittently pleasing	2
156068	intermittently	2
156069	pleasing	2
156070	but	2
156071	mostly routine	2
156072	mostly	2
156073	routine	2
156074	effort	2
156075	.	2
156076	Kidman is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world .	2
156077	Kidman	2
156078	is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world .	2
156079	is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world	2
156080	is really	2
156081	is	2
156082	really	2
156083	the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world	2
156084	the only thing	2
156085	the	2
156086	only thing	2
156087	only	2
156088	thing	2
156089	that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world	2
156090	that	2
156091	's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world	2
156092	's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies	2
156093	's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves	3
156094	's worth	3
156095	's	2
156096	worth	3
156097	watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves	2
156098	watching in Birthday Girl , a film	2
156099	watching	2
156100	in Birthday Girl , a film	3
156101	in	2
156102	Birthday Girl , a film	3
156103	Birthday Girl ,	3
156104	Birthday Girl	3
156105	Birthday	2
156106	Girl	3
156107	,	2
156108	a film	2
156109	a	2
156110	film	2
156111	by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves	2
156112	by	2
156113	the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves	2
156114	the stage-trained Jez Butterworth -LRB- Mojo -RRB-	2
156115	the stage-trained Jez Butterworth	2
156116	stage-trained Jez Butterworth	2
156117	stage-trained	2
156118	Jez Butterworth	2
156119	Jez	2
156120	Butterworth	2
156121	-LRB- Mojo -RRB-	2
156122	-LRB-	2
156123	Mojo -RRB-	2
156124	Mojo	2
156125	-RRB-	2
156126	that serves	2
156127	serves	2
156128	as yet another example of the sad decline of British comedies	2
156129	as	2
156130	yet another example of the sad decline of British comedies	2
156131	yet	2
156132	another example of the sad decline of British comedies	2
156133	another example	2
156134	another	2
156135	example	2
156136	of the sad decline of British comedies	2
156137	of	2
156138	the sad decline of British comedies	2
156139	the sad decline	2
156140	sad decline	2
156141	sad	2
156142	decline	2
156143	of British comedies	2
156144	British comedies	2
156145	British	2
156146	comedies	2
156147	in the post-Full Monty world	0
156148	the post-Full Monty world	0
156149	post-Full Monty world	0
156150	post-Full	2
156151	Monty world	0
156152	Monty	2
156153	world	1
156154	Once you get into its rhythm ... the movie becomes a heady experience .	2
156155	Once you get into its rhythm	2
156156	Once	2
156157	you get into its rhythm	2
156158	you	2
156159	get into its rhythm	2
156160	get	2
156161	into its rhythm	2
156162	into	2
156163	its rhythm	2
156164	its	2
156165	rhythm	2
156166	... the movie becomes a heady experience .	2
156167	...	2
156168	the movie becomes a heady experience .	2
156169	the movie	2
156170	movie	2
